,Unnamed: 0.1,Unnamed: 0,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
55,55,9290,1325875320,6.4,6.4,6.4,6.4,9.11085273,58.309457472,6.4
56,56,9386,1325881080,6.3,6.3,6.3,6.3,0.5,3.15,6.3
57,57,9387,1325881140,6.2,6.2,6.2,6.2,0.5,3.1,6.2
58,58,9389,1325881260,6.1,6.1,6.1,6.1,0.5,3.05,6.1
59,59,9390,1325881320,6.0,6.0,6.0,6.0,1.0,6.0,6.0
60,60,10702,1325960040,6.8,6.8,6.8,6.8,0.29585799,2.011834332,6.8
61,61,11908,1326032400,6.9,6.9,6.9,6.9,4.0,27.6,6.9
62,62,12459,1326065460,7.0,7.0,7.0,7.0,1.0,7.0,7.0
63,63,12768,1326084000,6.99,6.99,6.9,6.9,5.0,34.69854,6.939708
64,64,13212,1326110640,6.9,6.9,6.9,6.9,7.04348837,48.600069753,6.9
65,65,13214,1326110760,6.9,6.9,6.9,6.9,1.46842878,10.132158582,6.9
66,66,13215,1326110820,6.9,6.9,6.9,6.9,1.47275405,10.162002945,6.9
67,67,13216,1326110880,6.9,6.9,6.9,6.9,1.52207002,10.502283138,6.9
68,68,13217,1326110940,6.9,6.9,6.9,6.9,0.69925878,4.824885582,6.9
69,69,13223,1326111300,6.5,6.5,6.5,6.5,1.5600624,10.1404056,6.5
70,70,13224,1326111360,6.5,6.5,6.5,6.5,1.5600624,10.1404056,6.5
71,71,13225,1326111420,6.5,6.5,6.5,6.5,1.56985871,10.204081615,6.5
72,72,13226,1326111480,6.5,6.5,6.5,6.5,1.5576324,10.1246106,6.5
73,73,13227,1326111540,6.5,6.5,6.5,6.5,1.56494523,10.172143995,6.5
74,74,13228,1326111600,6.5,6.5,6.5,6.5,1.54559505,10.046367825,6.5
75,75,13232,1326111840,6.5,6.5,6.5,6.5,13.6,88.4,6.5
76,76,13294,1326115560,6.58,6.58,6.58,6.58,1.51975684,10.000000007,6.58
77,77,13295,1326115620,6.6,6.6,6.6,6.6,1.48024316,9.769604856,6.6
78,78,13296,1326115680,6.6,6.6,6.6,6.6,0.8,5.28,6.6
79,79,13301,1326115980,6.57,6.57,6.57,6.57,0.76103501,5.0000000157,6.57
80,80,13326,1326117480,6.5,6.5,6.5,6.5,0.04184381,0.271984765,6.5
81,81,13361,1326119580,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
82,82,13414,1326122760,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
83,83,13415,1326122820,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
84,84,13416,1326122880,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
85,85,13431,1326123780,6.6,6.6,6.6,6.6,1.51745068,10.015174488,6.6
86,86,13444,1326124560,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
87,87,13446,1326124680,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
88,88,13448,1326124800,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
89,89,13451,1326124980,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
90,90,13452,1326125040,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
91,91,13454,1326125160,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
92,92,13520,1326129120,6.36,6.36,6.36,6.36,0.31446541,2.0000000076,6.36
93,93,13535,1326130020,6.38,6.38,6.38,6.38,0.55799373,3.5599999974,6.38
94,94,13571,1326132180,6.49,6.49,6.49,6.49,0.56086287,3.6400000263,6.49
95,95,13573,1326132300,6.48,6.48,6.48,6.48,1.0,6.48,6.48
96,96,13670,1326138120,6.35,6.35,6.35,6.35,1.0,6.35,6.35
97,97,13672,1326138240,6.23,6.23,6.23,6.23,1.0,6.23,6.23
98,98,13865,1326149820,6.3,6.3,6.3,6.3,1.0,6.3,6.3
99,99,14524,1326189360,6.24,6.24,6.24,6.24,3.2051282,19.999999968,6.24
100,100,14525,1326189420,6.24,6.24,6.24,6.24,1.6025641,9.999999984,6.24
101,101,14526,1326189480,6.24,6.24,6.24,6.24,1.6025641,9.999999984,6.24
102,102,14527,1326189540,6.24,6.24,6.24,6.24,1.6025641,9.999999984,6.24
103,103,14528,1326189600,6.24,6.24,6.24,6.24,1.2371795,7.72000008,6.24
104,104,14570,1326192120,6.4,6.4,6.4,6.4,1.0,6.4,6.4
105,105,14708,1326200400,6.54,6.54,6.54,6.54,1.0,6.54,6.54
106,106,14709,1326200460,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
107,107,14710,1326200520,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
108,108,14711,1326200580,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
109,109,14712,1326200640,6.54,6.54,6.54,6.54,1.53846154,10.061538472,6.54
110,110,14713,1326200700,6.54,6.54,6.54,6.54,1.53846154,10.061538472,6.54
111,111,14718,1326201000,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
112,112,14719,1326201060,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
113,113,14720,1326201120,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
114,114,14724,1326201360,6.54,6.54,6.54,6.54,0.32568807,2.1299999778,6.54
115,115,14823,1326207300,6.55,6.55,6.55,6.55,0.56086287,3.6736517985,6.55
116,116,14828,1326207600,6.55,6.55,6.55,6.55,1.52671756,10.000000018,6.55
117,117,14845,1326208620,6.55,6.55,6.55,6.55,10.14,66.417,6.55
